proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
PUZ\PUZ047+1.spass,1,16,8,16,8,151528,0,0,0,0,0,16,1797,1767
SYN\SYN587-1.spass,1,16,8,16,8,980350,0,0,0,0,0,16,1813,1783
SYN\SYN557-1.spass,1,16,9,16,9,125478,0,0,0,0,0,16,1829,1799
PUZ\PUZ047-1.spass,1,16,8,16,8,115573,0,0,0,0,0,16,1845,1815
SYN\SYN571-1.spass,1,16,8,22,8,8653647,-0.375,-6.93E-07,0,0,6,16,1861,1831
SYN\SYN717-1.spass,1,16,8,22,7,5676640,-0.375,-1.06E-06,0.0625,1.76E-07,6,16,1877,1847
SYN\SYN626-1.spass,1,16,8,23,7,3951487,-0.4375,-1.77E-06,0.0625,2.53E-07,7,16,1893,1863
SWV\SWV286-2.spass,1,16,7,16,7,388178,0,0,0,0,0,16,1909,1879
SWV\SWV328-2.spass,1,16,8,22,7,26257395,-0.375,-2.29E-07,0.0625,3.81E-08,6,16,1925,1895
SYN\SYN710-1.spass,1,16,7,16,7,140888,0,0,0,0,0,16,1941,1911
CSR\CSR070+1.spass,1,17,8,17,8,211333,0,0,0,0,0,17,1958,1928
SWV\SWV288-2.spass,1,17,8,17,8,217571,0,0,0,0,0,17,1975,1945
LCL\LCL429-2.spass,1,17,9,17,9,1247452,0,0,0,0,0,17,1992,1962
SYN\SYN655-1.spass,1,17,9,17,9,315532,0,0,0,0,0,17,2009,1979
SYN\SYN352-1.spass,1,17,8,17,8,357358,0,0,0,0,0,17,2026,1996
SYN\SYN654-1.spass,1,17,9,17,9,303792,0,0,0,0,0,17,2043,2013
LCL\LCL430-2.spass,1,17,9,17,9,656747,0,0,0,0,0,17,2060,2030
LCL\LCL443-2.spass,1,17,9,17,9,205462,0,0,0,0,0,17,2077,2047
SYN\SYN719-1.spass,1,17,8,17,8,138320,0,0,0,0,0,17,2094,2064
SYN\SYN657-1.spass,1,18,9,24,8,6919323,-0.333333333,-8.67E-07,0.055555556,1.45E-07,7,17,2112,2081
COL\COL110-2.spass,1,18,8,18,8,279576,0,0,0,0,0,18,2130,2099
SWV\SWV272-2.spass,1,18,9,18,9,724989,0,0,0,0,0,18,2148,2117
SYN\SYN583-1.spass,1,18,9,25,9,8014878,-0.388888889,-8.73E-07,0,0,7,18,2166,2135
SYN\SYN581-1.spass,1,18,9,25,9,9993191,-0.388888889,-7.00E-07,0,0,7,18,2184,2153
SWV\SWV335-2.spass,1,18,9,25,8,6912351,-0.388888889,-1.01E-06,0.055555556,1.45E-07,7,18,2202,2171
SYN\SYN653-1.spass,1,18,9,18,9,301223,0,0,0,0,0,18,2220,2189
SYN\SYN706-1.spass,1,18,8,18,8,177212,0,0,0,0,0,18,2238,2207
SWV\SWV270-2.spass,1,18,9,18,9,746637,0,0,0,0,0,18,2256,2225
SWV\SWV289-2.spass,1,18,8,18,8,254260,0,0,0,0,0,18,2274,2243
SWV\SWV287-2.spass,1,18,8,18,8,304892,0,0,0,0,0,18,2292,2261
SWV\SWV271-2.spass,1,18,9,18,9,534570,0,0,0,0,0,18,2310,2279
COL\COL123-2.spass,1,19,8,19,8,358092,0,0,0,0,0,19,2329,2298
SWV\SWV245-2.spass,1,19,11,26,10,9316632,-0.368421053,-7.51E-07,0.052631579,1.07E-07,7,19,2348,2317
SYN\SYN311-1.spass,1,19,13,19,13,150429,0,0,0,0,0,19,2367,2336
SYN\SYN310-1.spass,1,19,13,19,13,116307,0,0,0,0,0,19,2386,2355
COM\COM002-1.spass,1,19,10,19,10,96127,0,0,0,0,0,19,2405,2374
SWV\SWV279-2.spass,1,19,11,19,11,645005,0,0,0,0,0,19,2424,2393
SYN\SYN656-1.spass,1,19,10,27,9,6192131,-0.421052632,-1.29E-06,0.052631579,1.61E-07,8,19,2443,2412
SWV\SWV246-2.spass,1,19,11,26,10,6860252,-0.368421053,-1.02E-06,0.052631579,1.46E-07,7,19,2462,2431
SYN\SYN345-1.spass,1,20,7,21,6,9042559,-0.05,-1.11E-07,0.05,1.11E-07,4,17,2482,2448
MSC\MSC004-1.spass,1,20,10,26,9,7200733,-0.3,-8.33E-07,0.05,1.39E-07,7,19,2502,2467
SYN\SYN561-1.spass,1,20,12,33,12,23827065,-0.65,-5.46E-07,0,0,13,20,2522,2487
SYN\SYN559-1.spass,1,20,12,33,12,10977943,-0.65,-1.18E-06,0,0,13,20,2542,2507
SWV\SWV329-2.spass,1,20,10,29,9,6184793,-0.45,-1.46E-06,0.05,1.62E-07,9,20,2562,2527
SYN\SYN613-1.spass,1,20,11,20,11,126580,0,0,0,0,0,20,2582,2547
SWV\SWV293-2.spass,1,20,11,30,10,21970930,-0.5,-4.55E-07,0.05,4.55E-08,10,20,2602,2567
SWV\SWV009-1.spass,1,21,13,24,10,5575009,-0.142857143,-5.38E-07,0.142857143,5.38E-07,5,19,2623,2586
COM\COM002-2.spass,1,21,12,21,12,115206,0,0,0,0,0,21,2644,2607
SYN\SYN554-1.spass,1,21,13,30,11,38486826,-0.428571429,-2.34E-07,0.095238095,5.20E-08,9,21,2665,2628
SWV\SWV290-2.spass,1,21,11,30,10,7124051,-0.428571429,-1.26E-06,0.047619048,1.40E-07,9,21,2686,2649
SYN\SYN312-1.spass,1,21,13,21,13,116306,0,0,0,0,0,21,2707,2670
GRP\GRP012+5.spass,1,21,13,29,13,10103259,-0.380952381,-7.92E-07,0,0,8,21,2728,2691
SWB\SWB030+2.spass,1,22,12,28,10,6473909,-0.272727273,-9.27E-07,0.090909091,3.09E-07,6,22,2750,2713
SYN\SYN570-1.spass,1,22,11,22,11,122910,0,0,0,0,0,22,2772,2735
SET\SET588+3.spass,1,22,11,22,11,206197,0,0,0,0,0,22,2794,2757
